ESTACION_ID USUARIO_ID TIEMPO_EVENTO TIPO_EVENTO
010 00568539 05:01  IN
011 32719647 05:02  IN
001 58539934 05:04  IN
014 12542535 05:05  IN
011 62176962 05:05  IN
007 80034233 05:07  IN
015 30747186 05:10  IN
015 94724396 05:10  IN
010 12542535 05:10 OUT
020 70201408 05:11  IN
015 32719647 05:11 OUT
010 32883114 05:12  IN
007 73675038 05:12  IN
014 68597059 05:13  IN
014 68572245 05:13  IN
001 06675098 05:14  IN
014 62176962 05:14 OUT
014 00568539 05:17 OUT
011 66425241 05:20  IN
010 19149315 05:20  IN
021 53054267 05:20  IN
004 60366761 05:21  IN
020 29398359 05:22  IN
008 66234052 05:23  IN
015 30747186 05:24 OUT
019 12596025 05:24  IN
019 94724396 05:24 OUT
018 53557613 05:26  IN
004 66374131 05:26  IN
012 19149315 05:28 OUT
001 37683752 05:28  IN
017 82858299 05:28  IN
012 66425241 05:29 OUT
014 23995807 05:29  IN
010 66234052 05:31 OUT
010 85332257 05:33  IN
009 88685207 05:33  IN
001 15126323 05:33  IN
011 18170732 05:35  IN
015 50700161 05:35  IN
002 52063354 05:35  IN
007 61800074 05:37  IN
018 49412131 05:37  IN
018 67217281 05:38  IN
014 57467079 05:39  IN
004 66683822 05:39  IN
018 70319036 05:40  IN
010 68191282 05:40  IN
004 66683822 05:41 OUT
010 57467079 05:43 OUT
014 04734121 05:43  IN
004 60865910 05:44  IN
018 16305905 05:44  IN
014 70899562 05:44  IN
015 82858299 05:44 OUT
019 80034233 05:45 OUT
005 68597059 05:46 OUT
011 73441825 05:46  IN
010 16631153 05:47  IN
010 18896262 05:47  IN
018 84202191 05:47  IN
013 53557613 05:47 OUT
013 58539934 05:47 OUT
010 34987508 05:48  IN
018 16305905 05:48 OUT
010 13081119 05:48  IN
021 86704896 05:49  IN
002 53181461 05:50  IN
015 18170732 05:50 OUT
018 08799698 05:51  IN
008 34987508 05:51 OUT
018 20723644 05:52  IN
005 95759893 05:52  IN
002 32883114 05:52 OUT
019 73675038 05:52 OUT
014 13081119 05:52 OUT
009 10553276 05:52  IN
019 86704896 05:53 OUT
001 53181461 05:53 OUT
020 41161679 05:54  IN
011 16631153 05:54 OUT
003 43961699 05:55  IN
018 38582545 05:56  IN
008 50700161 05:56 OUT
006 60865910 05:56 OUT
018 88685207 05:57 OUT
016 04734121 05:57 OUT
012 06675098 05:58 OUT
008 78760535 05:58  IN
018 14929699 05:59  IN
007 41194805 05:59  IN
021 41161679 05:59 OUT
018 84202191 05:59 OUT
001 68572245 05:59 OUT
019 50117930 06:01  IN
011 91444048 06:03  IN
010 67217281 06:03 OUT
020 68191282 06:04 OUT
010 49412131 06:04 OUT
001 95759893 06:05 OUT
019 73441825 06:05 OUT
001 70201408 06:06 OUT
020 60366761 06:06 OUT
002 47584096 06:06  IN
018 82805123 06:06  IN
010 66374131 06:07 OUT
002 79031909 06:08  IN
005 53054267 06:08 OUT
010 38582545 06:09 OUT
015 20723644 06:10 OUT
001 19486523 06:10  IN
005 29398359 06:10 OUT
008 61250658 06:10  IN
018 25475270 06:11  IN
015 61800074 06:11 OUT
018 50117930 06:12 OUT
002 91078407 06:13  IN
002 57020327 06:13  IN
002 23995807 06:13 OUT
011 03126252 06:14  IN
005 85332257 06:14 OUT
002 06213154 06:14  IN
012 62168074 06:14  IN
017 10553276 06:14 OUT
002 51198633 06:15  IN
006 12596025 06:16 OUT
015 65031802 06:16  IN
020 25475270 06:17 OUT
014 52063354 06:17 OUT
011 34771386 06:18  IN
002 41097485 06:19  IN
001 82490221 06:19  IN
015 14929699 06:20 OUT
001 65260188 06:22  IN
015 73466794 06:22  IN
005 70899562 06:22 OUT
017 37683752 06:22 OUT
006 07272395 06:22  IN
011 03103396 06:24  IN
001 41097485 06:24 OUT
001 96229312 06:26  IN
018 15126323 06:26 OUT
018 65031802 06:26 OUT
018 25481491 06:27  IN
001 18896262 06:27 OUT
006 70319036 06:27 OUT
019 33887778 06:28  IN
007 61250658 06:28 OUT
011 52775840 06:28  IN
003 41194805 06:28 OUT
002 98820500 06:29  IN
012 58177195 06:30  IN
011 82805123 06:31 OUT
004 78760535 06:31 OUT
021 89213952 06:32  IN
002 05945648 06:32  IN
011 58924377 06:32  IN
016 02132775 06:35  IN
009 43961699 06:35 OUT
001 18367708 06:36  IN
006 07596851 06:36  IN
011 11627616 06:36  IN
002 51218931 06:36  IN
010 58177195 06:38 OUT
008 36586668 06:38  IN
016 18453223 06:38  IN
011 62638173 06:39  IN
011 25481491 06:39 OUT
011 18582786 06:40  IN
018 85713751 06:40  IN
007 73466794 06:42 OUT
001 59561683 06:43  IN
006 86325126 06:44  IN
005 07596851 06:44 OUT
008 47584096 06:45 OUT
013 98351583 06:45  IN
013 52775840 06:45 OUT
011 79031909 06:45 OUT
014 26731888 06:45  IN
010 02132775 06:46 OUT
011 49651078 06:46  IN
001 65716697 06:46  IN
002 91444048 06:47 OUT
007 98509282 06:47  IN
008 96600715 06:47  IN
007 03576863 06:47  IN
015 96048219 06:47  IN
019 64392241 06:47  IN
001 10029898 06:48  IN
021 11173797 06:48  IN
010 36586668 06:48 OUT
001 32709074 06:48  IN
021 18453223 06:48 OUT
013 71108252 06:48  IN
001 08799698 06:49 OUT
019 03103396 06:49 OUT
016 89213952 06:49 OUT
002 04275977 06:49  IN
011 49651078 06:50 OUT
007 96229312 06:51 OUT
002 53129009 06:51  IN
014 93878905 06:51  IN
011 57020327 06:52 OUT
014 62638173 06:52 OUT
010 07272395 06:52 OUT
011 62841270 06:53  IN
018 85713751 06:54 OUT
012 93878905 06:54 OUT
021 90996378 06:54  IN
011 33887778 06:55 OUT
002 98926465 06:56  IN
011 46086223 06:56  IN
009 02952367 06:56  IN
002 98926465 06:57 OUT
004 32709074 06:57 OUT
020 24484390 06:57  IN
009 19486523 06:57 OUT
019 39916866 06:58  IN
002 02588264 06:58  IN
015 26731888 06:58 OUT
011 12495909 06:58  IN
001 32902242 06:59  IN
001 03126252 06:59 OUT
011 91078407 06:59 OUT
011 57241743 06:59  IN
011 35491633 06:59  IN
001 62168074 06:59 OUT
011 64392241 07:00 OUT
018 18582786 07:00 OUT
019 99129523 07:00  IN
010 82490221 07:01 OUT
010 96048219 07:01 OUT
019 61132752 07:03  IN
016 11173797 07:03 OUT
002 00824429 07:04  IN
018 49890160 07:06  IN
010 22459781 07:07  IN
019 39916866 07:07 OUT
002 34771386 07:08 OUT
001 28418255 07:08  IN
003 58924377 07:08 OUT
019 71108252 07:08 OUT
007 59561683 07:09 OUT
001 07592813 07:09  IN
016 46230161 07:09  IN
021 85782705 07:10  IN
019 96600715 07:10 OUT
012 10006173 07:10  IN
005 98509282 07:11 OUT
018 06213154 07:11 OUT
019 14306636 07:11  IN
